No.,Time,Source,Destination,Protocol,Length,Info
8682,101.07118,192.168.178.52,192.168.178.59,RTP,1060,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29269, Time=2752082854, Mark"
8724,101.200224,192.168.178.52,192.168.178.59,RTP,1116,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29270, Time=2752088614"
8725,101.200254,192.168.178.52,192.168.178.59,RTP,1116,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29271, Time=2752088614"
8726,101.200259,192.168.178.52,192.168.178.59,RTP,176,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29265, Time=3842095919"
8727,101.200273,192.168.178.52,192.168.178.59,RTP,1116,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29272, Time=2752088614"
8728,101.200278,192.168.178.52,192.168.178.59,RTP,1116,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29273, Time=2752088614"
8730,101.200297,192.168.178.52,192.168.178.59,RTP,1116,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29274, Time=2752088614"
8731,101.200302,192.168.178.52,192.168.178.59,RTP,150,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29266, Time=3842096879"
8732,101.200305,192.168.178.52,192.168.178.59,RTP,1116,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29275, Time=2752088614"
8733,101.200315,192.168.178.52,192.168.178.59,RTP,1117,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29276, Time=2752088614, Mark"
8734,101.200319,192.168.178.52,192.168.178.59,RTP,147,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29267, Time=3842097839"
8736,101.200325,192.168.178.52,192.168.178.59,RTP,156,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29268, Time=3842098799"
8737,101.200339,192.168.178.52,192.168.178.59,RTP,149,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29269, Time=3842099759"
8738,101.200342,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29277, Time=2752095814"
8739,101.200344,192.168.178.52,192.168.178.59,RTP,1138,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29278, Time=2752095814"
8740,101.200351,192.168.178.52,192.168.178.59,RTP,1139,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29279, Time=2752095814"
8741,101.200353,192.168.178.52,192.168.178.59,RTP,156,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29270, Time=3842100719"
8742,101.200355,192.168.178.52,192.168.178.59,RTP,1139,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29280, Time=2752095814"
8745,101.210036,192.168.178.52,192.168.178.59,RTP,1139,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29281, Time=2752095814"
8746,101.211542,192.168.178.52,192.168.178.59,RTP,154,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29271, Time=3842101679"
8749,101.227506,192.168.178.52,192.168.178.59,RTP,1139,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29282, Time=2752095814, Mark"
8750,101.227546,192.168.178.52,192.168.178.59,RTP,139,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29272, Time=3842102639"
8751,101.239739,192.168.178.52,192.168.178.59,RTP,1170,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29283, Time=2752101574"
8752,101.239773,192.168.178.52,192.168.178.59,RTP,1170,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29284, Time=2752101574"
8754,101.244343,192.168.178.52,192.168.178.59,RTP,1170,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29285, Time=2752101574"
8755,101.247857,192.168.178.52,192.168.178.59,RTP,123,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29273, Time=3842103599"
8756,101.253448,192.168.178.52,192.168.178.59,RTP,1170,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29286, Time=2752101574"
8769,101.265845,192.168.178.52,192.168.178.59,RTP,1170,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29287, Time=2752101574"
8770,101.2693,192.168.178.52,192.168.178.59,RTP,119,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29274, Time=3842104559"
8771,101.269327,192.168.178.52,192.168.178.59,RTP,1171,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29288, Time=2752101574"
8781,101.282555,192.168.178.52,192.168.178.59,RTP,1171,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29289, Time=2752101574, Mark"
8784,101.290019,192.168.178.52,192.168.178.59,RTP,190,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29275, Time=3842105519"
8785,101.299986,192.168.178.52,192.168.178.59,RTP,1097,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29290, Time=2752107334"
8786,101.300022,192.168.178.52,192.168.178.59,RTP,1097,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29291, Time=2752107334"
8793,101.31313,192.168.178.52,192.168.178.59,RTP,1097,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29292, Time=2752107334"
8795,101.313159,192.168.178.52,192.168.178.59,RTP,160,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29276, Time=3842106479"
8799,101.320773,192.168.178.52,192.168.178.59,RTP,1097,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29293, Time=2752107334"
8800,101.321849,192.168.178.52,192.168.178.59,RTP,1097,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29294, Time=2752107334"
8805,101.327228,192.168.178.52,192.168.178.59,RTP,1097,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29295, Time=2752107334"
8806,101.327237,192.168.178.52,192.168.178.59,RTP,155,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29277, Time=3842107439"
8813,101.335005,192.168.178.52,192.168.178.59,RTP,1097,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29296, Time=2752107334"
8817,101.342845,192.168.178.52,192.168.178.59,RTP,1098,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29297, Time=2752107334"
8820,101.347421,192.168.178.52,192.168.178.59,RTP,154,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29278, Time=3842108399"
8821,101.34968,192.168.178.52,192.168.178.59,RTP,1098,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29298, Time=2752107334, Mark"
8824,101.357222,192.168.178.52,192.168.178.59,RTP,1121,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29299, Time=2752113094"
8833,101.366278,192.168.178.52,192.168.178.59,RTP,1121,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29300, Time=2752113094"
8834,101.366336,192.168.178.52,192.168.178.59,RTP,168,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29279, Time=3842109359"
8838,101.371959,192.168.178.52,192.168.178.59,RTP,1121,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29301, Time=2752113094"
8846,101.379327,192.168.178.52,192.168.178.59,RTP,1121,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29302, Time=2752113094"
8850,101.389038,192.168.178.52,192.168.178.59,RTP,1121,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29303, Time=2752113094"
8851,101.38905,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29280, Time=3842110319"
8857,101.395223,192.168.178.52,192.168.178.59,RTP,1121,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29304, Time=2752113094"
8859,101.40229,192.168.178.52,192.168.178.59,RTP,1122,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29305, Time=2752113094"
8864,101.407843,192.168.178.52,192.168.178.59,RTP,112,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29281, Time=3842111279"
8865,101.411342,192.168.178.52,192.168.178.59,RTP,1122,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29306, Time=2752113094, Mark"
8866,101.423321,192.168.178.52,192.168.178.59,RTP,1077,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29307, Time=2752118854"
8867,101.42442,192.168.178.52,192.168.178.59,RTP,1077,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29308, Time=2752118854"
8873,101.429867,192.168.178.52,192.168.178.59,RTP,117,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29282, Time=3842112239"
8877,101.434261,192.168.178.52,192.168.178.59,RTP,1077,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29309, Time=2752118854"
8881,101.438601,192.168.178.52,192.168.178.59,RTP,1077,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29310, Time=2752118854"
8889,101.447202,192.168.178.52,192.168.178.59,RTP,1077,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29311, Time=2752118854"
8890,101.449841,192.168.178.52,192.168.178.59,RTP,144,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29283, Time=3842113199"
8894,101.454653,192.168.178.52,192.168.178.59,RTP,1077,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29312, Time=2752118854"
8899,101.460618,192.168.178.52,192.168.178.59,RTP,1078,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29313, Time=2752118854, Mark"
8901,101.468801,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29284, Time=3842114159"
8907,101.491318,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29285, Time=3842115119"
8908,101.491333,192.168.178.52,192.168.178.59,RTP,1131,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29314, Time=2752124614"
8912,101.497251,192.168.178.52,192.168.178.59,RTP,1131,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29315, Time=2752124614"
8920,101.503484,192.168.178.52,192.168.178.59,RTP,1131,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29316, Time=2752124614"
8925,101.508683,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29286, Time=3842116079"
8927,101.511525,192.168.178.52,192.168.178.59,RTP,1131,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29317, Time=2752124614"
8935,101.528147,192.168.178.52,192.168.178.59,RTP,1131,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29318, Time=2752124614"
8936,101.528159,192.168.178.52,192.168.178.59,RTP,1131,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29319, Time=2752124614"
8937,101.530152,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29287, Time=3842117039"
8938,101.535104,192.168.178.52,192.168.178.59,RTP,1131,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29320, Time=2752124614"
8940,101.545445,192.168.178.52,192.168.178.59,RTP,1132,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29321, Time=2752124614, Mark"
8941,101.54872,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29288, Time=3842117999"
8961,101.571204,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29289, Time=3842118959"
8965,101.575351,192.168.178.52,192.168.178.59,RTP,1065,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29322, Time=2752130374"
8966,101.578685,192.168.178.52,192.168.178.59,RTP,1065,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29323, Time=2752130374"
8967,101.58327,192.168.178.52,192.168.178.59,RTP,1065,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29324, Time=2752130374"
8969,101.589642,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29290, Time=3842119919"
8970,101.591602,192.168.178.52,192.168.178.59,RTP,1065,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29325, Time=2752130374"
8971,101.59779,192.168.178.52,192.168.178.59,RTP,1066,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29326, Time=2752130374"
8974,101.606379,192.168.178.52,192.168.178.59,RTP,1066,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29327, Time=2752130374"
8976,101.608534,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29291, Time=3842120879"
8978,101.610831,192.168.178.52,192.168.178.59,RTP,1066,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29328, Time=2752130374"
8979,101.617517,192.168.178.52,192.168.178.59,RTP,1066,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29329, Time=2752130374"
8981,101.627227,192.168.178.52,192.168.178.59,RTP,1066,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29330, Time=2752130374, Mark"
8982,101.629361,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29292, Time=3842121839"
8983,101.633889,192.168.178.52,192.168.178.59,RTP,1117,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29331, Time=2752137574"
8984,101.641574,192.168.178.52,192.168.178.59,RTP,1117,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29332, Time=2752137574"
8986,101.646041,192.168.178.52,192.168.178.59,RTP,1117,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29333, Time=2752137574"
8987,101.648565,192.168.178.52,192.168.178.59,RTP,151,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29293, Time=3842122799"
8988,101.653956,192.168.178.52,192.168.178.59,RTP,1118,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29334, Time=2752137574"
8992,101.669032,192.168.178.52,192.168.178.59,RTP,1118,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29335, Time=2752137574"
8993,101.669054,192.168.178.52,192.168.178.59,RTP,155,"PT=DynamicRTP-Type-111, SSRC=0xDA1AC73D, Seq=29294, Time=3842123759"
8994,101.669057,192.168.178.52,192.168.178.59,RTP,1118,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29336, Time=2752137574"
8995,101.677563,192.168.178.52,192.168.178.59,RTP,1118,"PT=DynamicRTP-Type-124, SSRC=0x1F2228DC, Seq=29337, Time=2752137574"
